financial_year,student_arrivals,student_departures,net_student_migration,higher_ed_arrivals,vet_arrivals,other_student_arrivals,higher_ed_departures,vet_departures,other_student_departures
2004-05,66180,21240,44940,32750,7990,25440,9010,3080,9150
2005-06,73090,26080,47010,42040,10500,20550,14780,3410,7880
2006-07,103730,25480,78250,57940,19970,25810,16020,3370,6090
2007-08,133730,26020,107710,73150,31420,29160,15620,4070,6330
2008-09,152760,30700,122060,72080,53570,27110,18120,5560,7030
2009-10,106660,41770,64890,56500,25710,24450,24200,9880,7690
2010-11,75350,50340,25010,43020,11000,21330,30100,12330,7900
2011-12,73270,47560,25710,41870,10150,21250,30390,9020,8160
2012-13,86210,44950,41260,56500,8460,21260,28370,7940,8650
2013-14,114330,44150,70180,79140,9740,25450,26560,8260,9330
2014-15,122130,45050,77080,85070,11180,25870,25330,8720,10990
2015-16,132130,44110,88020,89170,15270,27690,24190,9450,10470
2016-17,149410,46810,102600,101440,16300,31670,25410,11390,10010
2017-18,157630,55420,102210,106520,19650,31460,31150,15150,9110
2018-19,164340,67440,96900,111310,22650,30390,40930,16980,9540
2019-20,110440,100920,9520,75950,11420,23070,66030,22160,12730
2020-21,1510,62190,-60680,730,120,670,43580,11060,7550
2021-22,141420,26870,114550,98410,21470,21540,15530,7000,4330
2022-23,277760,15490,262270,177400,38140,62220,7930,4550,3010
2023-24,204130,32820,171310,146660,20020,37450,18950,7960,5910
2024-25,156710,48640,108070,126270,8690,21750,28640,11980,8020
