financial_year,direction,value,signed_value
2004-05,Arrivals,66180,66180
2004-05,Departures,21240,-21240
2005-06,Arrivals,73090,73090
2005-06,Departures,26080,-26080
2006-07,Arrivals,103730,103730
2006-07,Departures,25480,-25480
2007-08,Arrivals,133730,133730
2007-08,Departures,26020,-26020
2008-09,Arrivals,152760,152760
2008-09,Departures,30700,-30700
2009-10,Arrivals,106660,106660
2009-10,Departures,41770,-41770
2010-11,Arrivals,75350,75350
2010-11,Departures,50340,-50340
2011-12,Arrivals,73270,73270
2011-12,Departures,47560,-47560
2012-13,Arrivals,86210,86210
2012-13,Departures,44950,-44950
2013-14,Arrivals,114330,114330
2013-14,Departures,44150,-44150
2014-15,Arrivals,122130,122130
2014-15,Departures,45050,-45050
2015-16,Arrivals,132130,132130
2015-16,Departures,44110,-44110
2016-17,Arrivals,149410,149410
2016-17,Departures,46810,-46810
2017-18,Arrivals,157630,157630
2017-18,Departures,55420,-55420
2018-19,Arrivals,164340,164340
2018-19,Departures,67440,-67440
2019-20,Arrivals,110440,110440
2019-20,Departures,100920,-100920
2020-21,Arrivals,1510,1510
2020-21,Departures,62190,-62190
2021-22,Arrivals,141420,141420
2021-22,Departures,26870,-26870
2022-23,Arrivals,277760,277760
2022-23,Departures,15490,-15490
2023-24,Arrivals,204130,204130
2023-24,Departures,32820,-32820
2024-25,Arrivals,156710,156710
2024-25,Departures,48640,-48640
