country,students_2026_jan,students_2025_jan,change,percent_change
China,129164,134310,-5146,-3.8
India,97056,107861,-10805,-10.0
Nepal,53024,51323,1701,3.3
Vietnam,25234,28204,-2970,-10.5
Bangladesh,22395,15418,6977,45.3
Philippines,19001,30647,-11646,-38.0
Indonesia,18801,18511,290,1.6
Colombia,17403,23612,-6209,-26.3
Pakistan,15528,19810,-4282,-21.6
Sri Lanka,14855,15241,-386,-2.5
Brazil,13301,16422,-3121,-19.0
Thailand,12743,17205,-4462,-25.9
"Korea, Republic of (South)",9686,9566,120,1.3
Malaysia,9434,11061,-1627,-14.7
Taiwan,8339,8387,-48,-0.6
Bhutan,7745,10460,-2715,-26.0
Hong Kong SAR,7623,8904,-1281,-14.4
Kenya,6360,7331,-971,-13.2
Japan,6099,6531,-432,-6.6
Singapore,4694,4616,78,1.7
