side,label,state_code,total,x0,x1,y0,y1,x_label,y_label,align
source,China,,129164,-0.04,-0.015,0,0.20781299891619712,-0.055,0.10390649945809856,right
source,India,,97056,-0.04,-0.015,0.2258129989161971,0.3819671782758517,-0.055,0.3038900885960244,right
source,Nepal,,53024,-0.04,-0.015,0.3999671782758517,0.4852779185326759,-0.055,0.4426225484042638,right
source,Vietnam,,25234,-0.04,-0.015,0.5032779185326759,0.5438771041776801,-0.055,0.5235775113551779,right
source,Bangladesh,,22395,-0.04,-0.015,0.56187710417768,0.597908599878713,-0.055,0.5798928520281965,right
source,Other countries,,238728,-0.04,-0.015,0.615908599878713,1.0,-0.055,0.8079542999393565,right
target,New South Wales,NSW,222144,1.015,1.04,0,0.3432700012906625,1.055,0.17163500064533124,left
target,Victoria,VIC,168892,1.015,1.04,0.3612700012906625,0.6222518736706618,1.055,0.4917609374806622,left
target,Queensland,QLD,76592,1.015,1.04,0.6402518736706618,0.7586063461698265,1.055,0.6994291099202441,left
target,Western Australia,WA,46247,1.015,1.04,0.7766063461698265,0.8480699362271283,1.055,0.8123381411984774,left
target,South Australia,SA,32054,1.015,1.04,0.8660699362271284,0.9156016661922451,1.055,0.8908358012096868,left
target,Australian Capital Territory,ACT,11255,1.015,1.04,0.933601666192245,0.95099355552766,1.055,0.9422976108599526,left
target,Tasmania,TAS,4735,1.015,1.04,0.96899355552766,0.9763103565941361,1.055,0.972651956060898,left
target,Northern Territory,NT,3682,1.015,1.04,0.9943103565941361,1.0,1.055,0.997155178297068,left
